CompanyName,ACN,ABN,GICSIndGrp,Address,City,State,Postcode,ISIN
Australian Pacific Coal Limited,089206986,49089206986,1510,"Level 1, 371 Queen St",Brisbane,QLD,4000,AU000000AQC5
Ausquest Limited,091542451,35091542451,1510,8 Kearns Cr,Ardross,WA,6153,AU000000AQD3
Australian Governance Masters Index Fund Limited,140842397,"",4020,"Level 15, 100 Pacific Hwy",North Sydney,NSW,2060,AU000000AQF8
Alicanto Minerals Limited,"",81149126858,1510,"Level 2, 8 Richardson St",West Perth,WA,6005,AU000000AQI2
Aus Asia Minerals Limited,121969819,41121969819,1010,108 Outram St,West Perth,WA,6005,AU000000AQJ0
BetaShares Australian Quality ETF,ARSN643692531,"",4020,"Level 46, 180 George S",Sydney,NSW,2000,AU0000121287
Aquirian Limited,634457506,23634457506,2020,"Level 3, 190 St. Georges Tce",Perth,WA,6000,AU0000158537
Aphrodite Gold Limited,138879928,"",1510,116 Harrick Rd,Keilor Park,VIC,3042,AU000000AQQ5
Aquis Entertainment Limited,147411881,"",2530,"Level 4, Office 4D, 16 Queensland Ave",Broadbeach,QLD,4218,AU000000AQS1
Aqua Guardian Group Limited,121561457,"",2530,"Suite 307, 434 St Kilda Rd",Melbourne,VIC,3004,AU000000AQU7
Alice Queen Limited,099247408,71099247408,1510,"Level 2, 568 Chapel St",South Yarra,VIC,3141,AU000000AQX1
Alliance Aviation Services Limited,153361525,96153361525,2030,81 Pandanus Ave,Brisbane Airport,QLD,4009,AU000000AQZ6
Austral Resources Australia Ltd,142485470,"",1510,"Level 9, 60 Edward St",Brisbane,QLD,4000,AU0000175838
Armnet Limited,"","",,"Level 0, 50 Miller St",North Sydney,NSW,2060,AU0000075061
Australian Rare Earths Limited,632645302,73632645302,1510,"Level 10, 111 Gawler Pl",Adelaide,SA,5000,AU0000154684
archTIS Limited,123098671,79123098671,4510,10 National Cct,Barton,ACT,2600,AU0000020877
Ariadne Australia Limited,010474067,50010474067,2020,"Level 27, Chifley Tower, 2 Chifley Sq",Sydney,NSW,2000,AU000000ARA7
ARB Corporation Limited,006708756,31006708756,2510,42-44 Garden St,Kilsyth,VIC,3137,AU000000ARB5
ArborGen Holdings Limited,"","",1510,"Suite 107, 100 Parnell Rd",Auckland,New Zealand,1052,NZRBCE0001S3
ARC Funds Limited,001746710,52001746710,4020,"Level 24, 111 Eagle St",Brisbane,QLD,4000,AU000000ARC3
Argent Minerals Limited,124780276,89124780276,1510,"Level 2, 7 Havelock St",West Perth,WA,6005,AU000000ARD1
Arena REIT,ARSN106891641,"",6010,"Level 32, 8 Exhibition St",Melbourne,VIC,3000,AU000000ARF6
Argo Investments Limited,007519520,35007519520,4020,"Level 25, 91 King William St",Adelaide,SA,5000,AU000000ARG4
Argosy Property Limited,"","",4040,39 Market Pl,Auckland,New Zealand,1142,NZPPZE0001S8
Australasian Resources Limited,008942809,46008942809,1510,"Level 5, 56 Pitt St",Sydney,NSW,2000,AU000000ARH2
Arika Resources Limited,086839992,92086839992,1510,"Level 14, QVI Building, 250 St Georges Tce",Perth,WA,6000,AU0000355000
A.C.N 004 410 833 Limited,004410833,63004410833,1510,"Level 8, 205 Pacific Hwy",St Leonards,NSW,2065,AU000000ARI0
Ardea Resources Limited,614289342,30614289342,1510,"Suite 2, 45 Ord St",West Perth,WA,6005,AU000000ARL4
Betashares Global Defence ETF,ARSN679404669,"",4020,"Level 6, 50 Margaret St",Sydney,NSW,2000,AU0000353534
Aldoro Resources Ltd,622990809,31622990809,1510,"Unit 1, 1 Centro Ave",Subiaco,WA,6008,AU0000017733
American Rare Earths Limited,ARBN003453503,83003453503,1510,"Suite 706, Level 7, 89 York St",Sydney,NSW,2000,NZARRE0004S7
ALT RESOURCES LIMITED,168928416,57168928416,1510,"Level 2, 33 Ord St",West Perth,WA,6005,AU000000ARS9
Airtasker Limited,149850457,53149850457,5020,"Level 6, 24-26 Campbell St",Haymarket,NSW,2000,AU0000135998
Arafura Rare Earths Ltd,080933455,22080933455,1510,"Level 6, 432 Murray St",Perth,WA,6000,AU000000ARU5
Artemis Resources Limited,107051749,80107051749,1510,"Level 2, 10 Ord St",West Perth,WA,6005,AU000000ARV3
Arvida Group Limited,"","",3510,"","","","",""
Aroa Biosurgery Limited,ARBN638867473,"",3520,64 Richard Pearse Dr,Mangere Auckland,New Zealand,2022,NZARXE0001S1
Asara Resources Limited,006710774,39006710774,1510,"Level 23, Collins Square Tower Five , 727 Collins St",Melbourne,VIC,3008,AU0000315624
Askari Metals Limited,646034460,39646034460,1510,"L2/Building C, 355 Scarborough Beach Rd",Perth,WA,6000,AU0000153256
Angel Seafood Holdings Ltd,615035366,38615035366,3020,48 Proper Bay Rd,Port Lincoln,SA,5606,AU000000AS16
abrdn Sustainable Asian Opportunities Active ETF (Managed Fund),ARSN106201236,"",4020,"Level 2, 395 Collins St",Melbourne,VIC,3000,AU0000236804
Austal Limited,009250266,73009250266,2010,100 Clarence Beach Rd,Henderson,WA,6166,AU000000ASB3
Smart Australian Dividend ETF,"","",4020,"Level 2, NZX Centre, 11 Cable St",Wellington Central,New Zealand,6011,""
Astute Metals NL,007090904,96007090904,1510,"Level 2, 517 Flinders Ln",Melbourne,VIC,3000,AU0000289613
Ascend Biopharmaceuticals Limited,"","",,"Suite 6, Level 5, 189 Kent St",Sydney,NSW,2000,AU000000ASE7
Smart Australian Financials ETF,"","",4020,"Level 2, 11 Cable St",Wellington Central,New Zealand,6011,""
Autosports Group Limited,614505261,54614505261,2550,555 Parramatta Rd,Leichhardt,NSW,2040,AU000000ASG2
Ashley Services Group Limited,094747510,92094747510,2020,"Level 10, 92 Pitt St",Sydney,NSW,2000,AU000000ASH0
Archean Star Resources Inc.,"","",2020,"","","","",AU000000ASH0
BetaShares Asia Technology Tigers ETF,"","",4020,"Level 46, 180 George St",Sydney,NSW,2000,AU0000022063
Abacus Storage King,112457075,37112457075,6010,"Level 13, 77 Castlereagh St",Sydney,NSW,2000,AU0000286213
Andean Silver Limited,645578454,"",1510,"Level 2, 480 Collins St",Melbourne,VIC,3000,AU0000343253
Australian Strategic Materials Limited,168368401,90168368401,1510,"Level 4, 66 Kings Park Rd",West Perth,WA,6005,AU0000094153
Anson Resources Limited,136636005,46136636005,1510,"Level 3, 10 Eagle St",Brisbane,QLD,4000,AU000000ASN8
Aston Minerals Limited,144079667,"",1510,"Suite 23, 513 Hay St",Subiaco,WA,6008,AU0000128787
Aspermont Limited,000375048,66000375048,5020,613-619 Wellington St,Perth,WA,6000,AU000000ASP3
Smart Australian Property ETF,"","",4020,"Level 2, NZX Centre, 11 Cable St",Wellington Central,New Zealand,6011,""
Australian Silica Quartz Group Ltd,119699982,72119699982,1510,"Suite 10, 295 Rokeby Rd",Subiaco,WA,6008,AU0000066169
Asra Minerals Limited,002261565,72002261565,1510,104 Colin St,West Perth,WA,6005,AU0000222663
Smart Australian Resources ETF,"","",4020,"Level 2, NZX Centre, 11 Cable St",Wellington Central,New Zealand,6011,""
AusNet Services,108788245,37108788245,5510,"Level 31, 2 Southbank Bvd",Southbank,VIC,3006,AU000000AST5
Asset Vision Co Limited,164718361,50164718361,4510,"Suite 4, 799 Springvale Rd",Mulgrave,VIC,3170,AU0000303216
Advanced Share Registry Ltd,127175946,14127175946,4020,110 Stirling Hwy,Nedlands,WA,6009,AU000000ASW9
ASX Limited,008624691,98008624691,4020,20 Bridge St,Sydney,NSW,2000,AU000000ASX7
Atomo Diagnostics Limited,142925684,37142925684,3510,"Level 1, 3-5 George St",Leichhardt,NSW,2040,AU0000080327
Atturra Limited,654662638,34654662638,4510,"Level 2, 10 Bond St",Sydney,NSW,2000,AU0000190308
ATC Alloys Ltd,118738999,88118738999,1510,246A Churchill Ave,Subiaco,WA,6008,AU000000ATA3
Altech Batteries Limited,125301206,"",1510,"Suite 8, 295 Rokeby Rd",Subiaco,WA,6008,AU000000ATC9
BetaShares S&P/ASX Australian Technology ETF,ARSN635315329,"",4020,"Level 46, 180 George St",Sydney,NSW,2000,AU0000075467
Articore Group Limited,119200592,11119200592,2550,"Level 12, 697 Collins St",Docklands,VIC,3008,AU0000303976
Alterity Therapeutics Limited,080699065,37080699065,3520,"Level 3, 460 Bourke St",Melbourne,VIC,3000,AU0000043945
Apollo Tourism & Leisure Ltd,614714742,67614714742,2510,698 Nudgee Rd,Northgate,QLD,4013,AU000000ATL0
Aneka Tambang (Persero) Tbk (Pt),ARBN087423998,"",1510,"Jl. Letjen TB Simatupang No. 1 Lingkar Selatan, Tanjung Barat",Jakarta,Indonesia,12530,AU000000ATM8
The a2 Milk Company Limited,ARBN158331965,97769415292,3020,"Level 17, 51 Shortland St",Auckland,New Zealand,1010,NZATME0002S8
AltoStratos Holdings Limited,"","",,"Level 36, Governor Phillip Tower, 1 Farrer Pl",Sydney,NSW,2000,AU0000037087
Global X Uranium ETF,ARSN661601878,"",4020,"Level 9, 115 Pitt St",Sydney,NSW,2000,AU0000249336
Atlas Pearls Ltd,009220053,32009220053,2520,26 Railway Rd,Subiaco,WA,6008,AU000000ATP1
Astron Corporation Limited,154924553,154924553,1510,224 Queen Str,Melbourne,VIC,3000,AU000000ATR7
Australis Oil and Gas Limited,609262937,34609262937,1010,"Level 2, 215 Hay St",Subiaco,WA,6008,AU000000ATS5
Atrum Coal Limited,153876861,27153876861,1510,"Level 5, 126 Phillip St",Sydney,NSW,2000,AU000000ATU1
Activeport Group Ltd,636569634,24636569634,4510,"Level 28, 140 St GeorgesTce",Perth,WA,6000,AU0000171910
Amplia Therapeutics Limited,165160841,16165160841,3520,"Level 17, 350 Queen St",Melbourne,VIC,3000,AU0000023822
Appetise (Holdings) Limited,"","",2550,"Level 29, 201 Elizabeth St",Sydney,NSW,2000,AU000000ATZ0
The Agency Group Australia Ltd,118913232,52118913232,6020,68 Milligan St,Perth,WA,6000,AU000000AU12
Audeara Limited,604368443,27604368443,2520,35 Brookes St,Bowen Hills,QLD,4006,AU0000145807
AUB Group Limited,000000715,60000000715,4030,"Level 14, 141 Walker St",North Sydney,NSW,2060,AU000000AUB9
AusGold Limited,140164496,"",1510,"Level 1, 307 Murray St",Perth,WA,6000,AU000000AUC7
Betashares Strong Australian Dollar Fund (Hedge Fund),"","",4020,"Level 46, 180 George St",Sydney,NSW,2000,AU00000AUDS2
Aurum Resource Limited,650477286,"",1510,"Unit 1, 1 Centro Ave",Subiaco,WA,6008,AU0000173478
Smart Australian ESG ETF,"","",4020,"Level 2, NZX Centre, 11 Cable St",Wellington,New Zealand,6011,""
Ausminerals Limited,"","",1510,11/35 Old Northern Rd,Baulkham Hills,NSW,2153,AU000000AUE3
Asian Masters Fund Limited,127927584,"",4020,"Level 15, 100 Pacific Hwy",North Sydney,NSW,2060,AU000000AUF0
Augustus Minerals Limited,651349638,13651349638,1510,"Level 2, 41-43 Ord St",West Perth,WA,6005,AU0000276453
Augusta Capital Limited,"","",6010,335 Devon St East,New Plymouth,New Zealand,4312,NZKPFE0001S1
AustChina Holdings Limited,075877075,20075877075,1010,"Level 7, 344 Queen St",Brisbane,QLD,4000,AU000000AUH6
Australian United Investment Company Limited,004268679,37004268679,4020,"Level 20, 101 Collins St",Melbourne,VIC,3000,AU000000AUI4
Aumake Limited,150110017,"",2550,"Unit 3, 66 Whiting St",Artarmon,NSW,2064,AU0000123432
