Identifier,Symbol,CompanyName,ACN,ABN,HomeMarket,GICSSector,GICSIndGrp,ASXSector,ASXSubSector,FormerNames,TradingStatus,ListDate,DelistDate,DelistReason,Address,City,State,Postcode,PhoneNumber,FaxNumber,WebAddress,EmailAddress,ISIN,RegistryId,Template,ASX300
AQA,AQA,Aquila Resources Limited,092 002 769,81 092 002 769,ASX,15,1510,1,12, ,Delisted,29/06/2000,30/07/2014,delisted following the compulsory acquisition by Baosteel Resources Australia and Aurizon Operations Limited,"Level 14, 225 St Georges Tce",Perth,WA,6000,+61 8 9423 0111 ,+61 8 9423 0133 ,www.aquilaresources.com.au,mail@aquilaresources.com.au,AU000000AQA9,4025,indus,0
AQC,AQC,Australian Pacific Coal Limited,089 206 986,49 089 206 986,ASX,15,1510,22,227,"TechStar Limited (TSR), 20/04/2007. Pacific Enviromin Limited (PEV), 13/12/2010",Trading,17/12/1999,,,"Level 1, 371 Queen St",Brisbane,QLD,4000,+61 7 3221 0679 ,+61 7 3229 9323 ,www.aqcltd.com,info@aqcltd.com,AU000000AQC5,3976,indus,0
AQC1,AQC1,Allied Queensland Coalfields Ltd ,010 178 551,,ASX,,,4,45,,Delisted,1/10/1981,20/01/1997,Successful takeover offer by Marsford Investments Pty Limited.,"Level 28, Comalco Place, 12 Creek St",Brisbane,QLD,4000,+61 7 3229 7277,+61 7 3221 7952, ,,,4288,indus,0
AQD,AQD,Ausquest Limited,091 542 451,35 091 542 451,ASX,15,1510,2,21,,Trading,25/11/2003,,,8 Kearns Cr,Ardross,WA,6153,+61 8 9364 3866 ,+61 8 9364 4892 ,www.ausquest.com.au,graeme@ausquest.com.au,AU000000AQD3,4758,indus,0
AQE,AQE,Aequs Capital Limited,087 225 509,15 087 225 509,ASX,40,4020,19,195,Hudson Securities Corporation Limited (HSC) 30/08/2005.,Delisted,21/08/2000,27/01/2009,Company delisted pursuant to Listing Rule 17.14.,"Level 11, 7-15 Macquarie Pl",Sydney,NSW,2000,+61 2 8274 0000,+61 2 9247 6488,www.aequs.com.au,,AU000000AQE1,4738,indus,0
AQF,AQF,Australian Governance Masters Index Fund Limited,140 842 397,,ASX,40,4020,19,193,,Delisted,10/02/2010,17/07/2018,"In accordance with Listing Rule 17.11 following completion and implementation of the restructure of the Company and admission of Australian Governance & Ethical Index Fund, the successor entity of the Company, to the official list of ASX.","Level 15, 100 Pacific Hwy",North Sydney,NSW,2060,,,www.governancemasters.com.au,info@governancemasters.com.au,AU000000AQF8,4736,propinvest,0
AQI,AQI,Alicanto Minerals Limited,,81 149 126 858,ASX,15,1510,,,,Trading,19/09/2012,,,"Level 2, 8 Richardson St",West Perth,WA,6005,+61 8 6279 9425 ,+61 8 6500 9989 ,www.alicantominerals.com.au,info@alicantominerals.com.au,AU000000AQI2,4025,indus,0
AQJ,AQJ,Aus Asia Minerals Limited,121 969 819,41 121 969 819,ASX,10,1010,4,45,"Coal Fe Resources Limited (CES), 16/12/2014.",Delisted,12/04/2007,18/03/2019,"Pursuant to Listing Rule 17.12, the removal has been undertaken in accordance with the policy set out in section 3.4 of ASX Listing Rules Guidance Note 33 Removal of Entities from the ASX Official List.",108 Outram St,West Perth,WA,6005,+61 8 9486 7244 ,+61 8 9486 6373 ,www.ausasiaminerals.com,admin@ausasiaminerals.com,AU000000AQJ0,4733,indus,0
AQLT,AQLT,BetaShares Australian Quality ETF,ARSN 643 692 531,,ASX,40,4020,,,,Trading,6/04/2022,,,"Level 46, 180 George S",Sydney,NSW,2000,+61 2 9290 6888 ,+61 2 9262 4950 ,www.betashares.com.au,,AU0000121287,4673,propinvest,0
AQN,AQN,Aquirian Limited,634 457 506,23 634 457 506,ASX,20,2020,,,,Trading,27/07/2021,,,"Level 3, 190 St. Georges Tce",Perth,WA,6000,+61 8 6370 5400 ,,www.aquirian.com,admin@aquirian.com,AU0000158537,4756,indus,0
AQO,AQO,Ambassador Oil and Gas Limited,152 595 429,,ASX,10,1010,,,,Delisted,22/12/2011,30/10/2014,delisted following completion of the compulsory acquisition of the Company's outstanding shares by Drillsearch (Central) Pty Limited,"Suite 11, Level 1, 23 Oxford St",Oakleigh,VIC,3166,+61 3 9021 6140 ,+61 3 9530 4117 ,www.ambassadorexp.com.au,info@ambassadorexp.com.au,AU000000AQO0,4737,indus,0
AQP,AQP,Aquarius Platinum Limited,ARBN 087 577 893,,ASX,15,1510,2,27,"Aquarius Platinum Limited (AQS), 16/09/1999.",Delisted,29/09/1999,14/04/2016,"delisted from the close of trading on Wednesday, 13 April 2016 pursuant to Listing rule 17.11","Clarendon House, 2 Church St",Hamilton HMCX,Bermuda,,+1 8 9367 5211 ,,www.aquariusplatinum.com,info@aquariusplatinum.com,BMG0440M1284,4025,indus,0
AQQ,AQQ,Aphrodite Gold Limited,138 879 928,,ASX,15,1510,1,11,,Delisted,7/07/2010,9/01/2018,Following receipt of an announcement.,116 Harrick Rd,Keilor Park,VIC,3042,+61 8 8609 6321 ,+61 9 9331 7323 ,www.aphroditegold.com.au,info@aphroditegold.com.au,AU000000AQQ5,4172,indus,0
AQS,AQS,Aquis Entertainment Limited,147 411 881,,ASX,25,2530,,,"Discovery Resources Limited (DIS), 21/08/2015",Delisted,2/12/2011,16/10/2023,Pending the outcome of a resolution at the Company's general meeting to approve a change in the nature and scale of the Company's activities. The Company securities will remain suspended pending compliance with Chapters 1 and 2 of the Listing Rules.,"Level 4, Office 4D, 16 Queensland Ave",Broadbeach,QLD,4218,+61 7 5557 8791 ,+61 2 6257 7079 ,www.aquisentertainment.com,enquiries@aquisentertainment.com,AU000000AQS1,4736,indus,0
AQU1,AQU1,Aqua Guardian Group Limited,121 561 457,,ASX,25,2530,5,52,,Withdrawn Float,,,,"Suite 307, 434 St Kilda Rd",Melbourne,VIC,3004,+61 3 9863 0933,+61 3 9867 1933,www.aquaguardiangroup.com,info@aquaguardiangroup.com,AU000000AQU7,4172,indus,0
AQX,AQX,Alice Queen Limited,099 247 408,71 099 247 408,ASX,15,1510,4,46,"Callabonna Uranium Ltd (CUU) 02/10/2012; MKY Resources Ltd (MKY) on 28/09/2009; Mky Corporation Limited on 2/12/2008; Mckinley Company Limited 28/08/2006; Creatable Media Limited(CLB), 27/01/2006; Callabonna Resources Limited (CUU), 17/11/2015   ",Trading,9/09/2004,,,"Level 2, 568 Chapel St",South Yarra,VIC,3141,+61 3 8669 1408 ,,www.alicequeen.com.au,info@alicequeen.com.au,AU000000AQX1,4737,indus,0
AQZ,AQZ,Alliance Aviation Services Limited,153 361 525,96 153 361 525,ASX,20,2030,,,,Trading,20/12/2011,,,81 Pandanus Ave,Brisbane Airport,QLD,4009,+61 7 3212 1212 ,+61 7 3212 1522 ,www.allianceairlines.com.au,executive@allianceairlines.com.au,AU000000AQZ6,4673,indus,0
AR1,AR1,Austral Resources Australia Ltd,142 485 470,,ASX,15,1510,,,,Suspended,3/11/2021,,,"Level 9, 60 Edward St",Brisbane,QLD,4000,+61 7 3520 2500 ,,www.australres.com,admin@australres.com,AU0000175838,4756,indus,0
AR11,AR11,Armnet Limited,,,ASX,,,,,,Withdrawn Float,,,,"Level 0, 50 Miller St",North Sydney,NSW,2060,,,www.armnet.com.au,enquiries@armnet.com.au,AU0000075061,4737,indus,0
AR3,AR3,Australian Rare Earths Limited,632 645 302,73 632 645 302,ASX,15,1510,,,,Trading,1/07/2021,,,"Level 10, 111 Gawler Pl",Adelaide,SA,5000,,,www.ar3.com.au,hello@ar3.com.au,AU0000154684,4758,indus,0
AR9,AR9,archTIS Limited,123 098 671,79 123 098 671,ASX,45,4510,,,,Trading,21/09/2018,,,10 National Cct,Barton,ACT,2600,+61 2 6162 2792 ,+61 2 6162 2418 ,www.archtis.com,info@archtis.com,AU0000020877,4756,indus,0
ARA,ARA,Ariadne Australia Limited,010 474 067,50 010 474 067,ASX,20,2020,6,62, ,Trading,30/06/1977,,,"Level 27, Chifley Tower, 2 Chifley Sq",Sydney,NSW,2000,+61 2 8227 5500 ,+61 2 8227 5511 ,www.ariadne.com.au,info@ariadne.com.au,AU000000ARA7,4759,propinvest,0
ARB,ARB,ARB Corporation Limited,006 708 756,31 006 708 756,ASX,25,2510,13,133,"ARB Corporation Limited (ARP), 08/04/2015",Trading,26/06/1987,,,42-44 Garden St,Kilsyth,VIC,3137,+61 3 9761 6622 ,+61 3 9721 9093 ,www.arb.com.au,,AU000000ARB5,4737,indus,1
ARB-NZ,ARB-NZ,ArborGen Holdings Limited,,,NZSE,15,1510,23,231,"Rubicon Limited (RBC-NZ), 27/09/2019.",Trading,26/03/2001,,,"Suite 107, 100 Parnell Rd",Auckland,New Zealand,1052,+64 9 356 9800 ,+64 9 356 9801 ,www.arborgenholdings.com,info@arborgenholdings.com,NZRBCE0001S3,4099,indus,0
ARB1-NZ,ARB1-NZ,Arthur Barnett Limited,,,NZSE,25,2550,13,131,,UpcomingFloat,,21/03/2003,Pursuant to Listing rules 5.4.1 and 5.4.2.,285 George St,Dunedin,New Zealand,,+64 3 477 1129,+64 3 467 7792,,,,4195,indus,0
ARC,ARC,ARC Funds Limited,001 746 710,52 001 746 710,ASX,40,4020,19,194,"Huntleys' Business Network Limited (HBN), 16/06/2003. Trent Capital Limited (TCP), 31/10/2006; Tidewater Investments Limited (TDI), 17/09/2014; Australian Rural Capital Limited (ARC  ), 28/10/2021",Trading,14/04/2000,,,"Level 24, 111 Eagle St",Brisbane,QLD,4000,,,www.arcfunds.com.au,Harley@ArcFunds.com.au,AU000000ARC3,4724,propinvest,0
ARD,ARD,Argent Minerals Limited,124 780 276,89 124 780 276,ASX,15,1510,2,27,,Trading,3/04/2008,,,"Level 2, 7 Havelock St",West Perth,WA,6005,+61 8 6555 2950 ,+61 8 6166 0261 ,www.argentminerals.com.au,info@argentminerals.com.au,AU000000ARD1,4756,indus,0
ARE1,ARE1,Associated Resources Management Limited ,,,ASX,,,,,,Delisted,30/05/1986,30/06/1992,Following closure of Second Board market,98-102 Belgravia,Belmont,WA,6104,+61 9 277 5433,+61 9 277 2694,,,,4239,indus,0
ARF,ARF,Arena REIT,ARSN 106 891 641,,ASX,60,6010,,,"Arena REIT, 10/12/2013; Arena Group, 17/01/2014",Trading,13/06/2013,,,"Level 32, 8 Exhibition St",Melbourne,VIC ,3000,+61 3 9093 9000 ,+61 3 9093 9093 ,www.arena.com.au,info@arena.com.au,AU000000ARF6,4736,propinvest,1
ARF1,ARF1,Arrowfield Group Limited ,000 813 936,,ASX,,,22,224,,Delisted,17/11/1983,20/09/2000,Pursuant to Lisitng Rule 17.11,"Level 5, 10-14 Spring St",Sydney,NSW,2000,+61 2 9223 8277 ,+61 2 9223 5795, ,,,,indus,0
ARG,ARG,Argo Investments Limited,007 519 520,35 007 519 520,ASX,40,4020,19,191, ,Trading,1/01/1947,,,"Level 25, 91 King William St",Adelaide,SA,5000,+61 8 8210 9500 ,+61 8 8212 1658 ,www.argoinvestments.com.au,invest@argoinvestments.com.au,AU000000ARG4,4736,propinvest,0
ARG-NZ,ARG-NZ,Argosy Property Limited,,,NZSE,40,4040,20,201,"Paramount Property Trust (PPZ-NZ),30/8/2003. ING Property Trust (ING-NZ), 8/10/2010; Argosy Property Trust (ARG-NZ), 29/02/2012",Trading,4/12/2002,,,39 Market Pl,Auckland,New Zealand,1142,+64 9 304 3400 ,+64 9 302 0996 ,www.argosy.co.nz,service@ingproperty.co.nz,NZPPZE0001S8,4099,propinvest,0
ARH,ARH,Australasian Resources Limited,008 942 809,46 008 942 809,ASX,15,1510,1,12,"Central Kalgoorlie Gold Mines Limited (CKG) 12/12/2003; Central Kalgoorlie Gold Mines NL, 29/06/2000 ; Sherlock Bay Nickel Corporation Limited(SHN) 7/06/2006.",Delisted,3/12/1981,2/10/2018,Following failure to lodge their Full Year Accounts for the period ended 30 June 2015 in accordance with ASX Listing Rules.,"Level 5, 56 Pitt St",Sydney,NSW,2000,+61 8 8319 9299 ,+61 8 8823 3188 ,www.austresources.com.au,info@austresources.com.au,AU000000ARH2,4676,indus,0
ARI,ARI,Arika Resources Limited,086 839 992,92 086 839 992,ASX,15,1510,21,215,"Portland Orthopaedics Limited (PLD), 2/02/2012; PLD Corporation Limited (PLD), 30/07/2015; Metalicity Limited (MCT), 25/09/2024",Trading,21/12/2005,,,"Level 14, QVI Building, 250 St Georges Tce",Perth,WA,6000,+61 8 6500 0202 ,+61 8 9388 3006 ,www.arika.com.au,info@arika.com.au,AU0000355000,4635,indus,0
ARI11,ARI11,A.C.N 004 410 833 Limited,004 410 833,63 004 410 833,ASX,15,1510,23,231,"Onesteel Limited (OST), 29/06/2012; Arrium Limited (ARI), 14/08/2017",Delisted,23/10/2000,8/04/2019,"Under Listing Rule 17.2, the removal has been undertaken in accordance with the policy set out in section 3.4 of ASX Listing Rules Guidance Note 33 Removal of Entities from the ASX Official List.","Level 8, 205 Pacific Hwy",St Leonards,NSW,2065,+61 2 9239 6666 ,+61 2 9251 3042 ,www.arrium.com,,AU000000ARI0,4736,indus,0
ARJ,ARJ,The Ark Fund Limited,009 204 175,93 009 204 175,ASX,40,4040,1,12,"IGM Group Limited (IGM), 21/05/2003; Intercontinental Gold and Minerals NL, 05/12/2000. Chester Mining Limited (CHT) 04/09/2006.",Delisted,17/09/1987,1/09/2015,"delisted from the close of trading on Monday, 31 August 2015 the company was removed from the Official List pursuant to Listing rule 17.15",66 St George's Tce,Perth,WA,6001,+61 8 9324 1155 ,+61 8 9324 2155 ,www.thearkfund.com.au,ark@thearkfund.com.au,AU000000ARJ8,4172,propinvest,0
ARJ1,ARJ1,Armstrong Jones Prime Investment Fund ,,,ASX,,,,,,Delisted,26/06/1983,10/04/1991,Following termination of the Fund,"Level 10, Australia Place, 15 William St",Perth,WA,6000,+61 9 322 0141,+61 9 481 1859,,,,4214,indus,0
ARL,ARL,Ardea Resources Limited,614 289 342,30 614 289 342,ASX,15,1510,,,,Trading,9/02/2017,,,"Suite 2, 45 Ord St",West Perth,WA,6005,+61 8 6244 5136 ,,www.ardearesources.com.au,ardea@ardearesources.com.au,AU000000ARL4,4758,indus,0
ARM1,ARM1,Arimco N.L. ,,,ASX,,,1,12,,Delisted,9/12/1984,28/05/1992,taken over by GEI Mining Pty Limite,"Level 14, 20 Berry St",North Sydney,NSW,2060,+61 2 955 1722,+61 2 956 5144,,,,4288,indus,0
