CompanyId,ShareClassId,Symbol,ExchangeId,CurrencyId,Valoren,CUSIP,ISIN,IPODate,IsDepositaryReceipt,DepositaryReceiptRatio,SecurityType,ShareClassDescription,ShareClassStatus,IsPrimaryShare,IsDividendReinvest,IsDirectInvest,InvestmentId,IPOOfferPrice,DelistingDate,DelistingReason,MIC,CommonShareSubType,IPOOfferPriceRange,ExchangeSubMarketGlobalId,ConversionRatio,ActiveOrDelisted
0C0000077C,0P00006XWF,CAT,ASX,AUD,,,,1997-07-15,1,1.000000000,ST00000001,,D,0,,,F0000001IH,,2013-09-09,Other events,XASX,,,,1.000000000,Delisted
0C000007B5,0P00007ZLJ,CXS,ASX,AUD,,,AU000000CXS3,1986-07-10,0,,ST00000001,,D,0,,,E0AUS0033W,,2011-07-22,Acquired,XASX,,,,1.000000000,Delisted
0C000007DG,0P0000NO38,EAU,ASX,AUD,,,AU000000EAU3,2009-12-07,1,1.000000000,ST00000001,DR,D,0,,,F00000H1U9,,2014-09-25,Consolidation/Exchange,XASX,,,,1.000000000,Delisted
0C0000083X,0P00006WNM,LGL,ASX,AUD,,,PG0008974597,1995-10-09,0,,ST00000001,,D,0,,,E0AUS00HUI,,2014-09-25,Consolidation/Exchange,XASX,,,,1.000000000,Delisted
0C00000848,0P0000ZJG1,MIH,ASX,AUD,,,AU000000MIH6,2013-09-13,1,10.000000000,ST00000001,CDR,D,0,,,F00000QF7V,,2023-08-25,Other events,XASX,,,,1.000000000,Delisted
0C0000085C,0P00006Y28,LOK,ASX,AUD,,,AU000000LOK0,2000-02-25,1,1.000000000,ST00000001,ADR,D,0,,,F0000001BB,,2011-01-27,Other events,XASX,,,,1.000000000,Delisted
0C0000086U,0P00006Y2E,MGN,ASX,AUD,,,AU000000MGN8,2006-04-28,1,1.000000000,ST00000001,DR,D,0,,,F0000001B5,,2013-04-02,Other events,XASX,,,,1.000000000,Delisted
0C000008CX,0P00006WP7,MST,ASX,AUD,,,AU000000MST0,1999-07-08,0,,ST00000001,,D,0,0,,E0AUS01KGX,,2013-09-23,Other events,XASX,,,,1.000000000,Delisted
0C000008JD,0P0000RTED,NABHA,ASX,AUD,,,AU0000NABHA7,2013-03-06,0,,ST00000002,Hybrid Securities,D,0,,,F00000LJGB,,2024-01-19,Other events,XASX,,,,1.000000000,Delisted
0C000008JD,0P0000Y6EH,NABPA,ASX,AUD,,,AU0000NABPA0,2013-03-21,0,,ST00000002,Pref Registered Shs 2013-Without Fixed Maturity Mandatory Conv. on 22.3.21,D,0,,,F00000PM0V,,2019-03-28,Other events,XASX,,,,1.000000000,Delisted
0C000008JD,0P00011JBP,NABPB,ASX,AUD,,,AU0000NABPB8,2013-12-18,0,,ST00000002,Pref. Shs 2013-Without Fixed Maturity Man.Conv.on 19.12.22,D,0,,,F00000S99P,,2021-07-15,Other events,XASX,,,,1.000000000,Delisted
0C000008JD,0P000165SA,NABPC,ASX,AUD,,,AU0000NABPC6,2015-03-23,0,,ST00000002,(no min.) Notes 2015-Without fixed Maturity Usec. Man Conv on 23.3.22,D,0,,,F00000VWJP,,2024-01-11,Other events,XASX,,,,1.000000000,Delisted
0C000008JD,0P00018CQY,NABPD,ASX,AUD,,,AU0000NABPD4,2016-07-08,0,,ST00000002,(no min.) Notes 2016-Without fixed Maturity Usec. Man Conv on 08.07.24,D,0,,,F00000XHX7,,2024-01-11,Other events,XASX,,,,1.000000000,Delisted
