Gcode,CompanyTicker,SecurityTicker,SeniorSecurity,SecurityType,AbreviatedSecurityDescription,ListDate_YMD,DelistDate_YMD,ListDate_DaysSince,DelistDate_DaysSince,ListDate,DelistDate,RecordCount,FullCompanyName,AbbrevCompanyName,EarliestListDate,LatestDelistDate,GICSIndustry,SIRCAIndustryClassCode,SIRCASectorCode,CompanyDelistReasonCode,CompanyRelatedGCode,CompanyDelistReasonComment,AlteredLink,MS_CompanyID,MS_SecurityID,MS_CompanyID2,MS_SecurityID2,MA_Identifier
14d1,14D,14D,1,01,ordinary,20180912,,43355,,12/09/2018,,1567,1414 DEGREES LIMITED,1414 DEGREES LIMITED,12/09/2018,,20100000,4,20,,,,,0C0000BH9J,0P0001DWIR,,,14D
1ad1,1AD,1AD,1,01,ordinary,20160822,,42604,,22/08/2016,,1675,ADALTA LIMITED,ADALTA LIMITED,22/08/2016,,35200000,15,35,,,,,0C0000B5A2,0P00018JPY,,,1AD
1ae1,1AE,1AE,1,01,ordinary,20220518,,44699,,18/05/2022,,634,AURORA ENERGY METALS LIMITED,AURORAENERGYMETALS,18/05/2022,,15104000,3,15,,,,,0C0000CHCK,0P0001P4BI,,,1AE
1al1,1AL,1AL,1,01,ordinary,20151203,20200817,42341,44060,03/12/2015,17/08/2020,315,ONEALL INTERNATIONAL LIMITED,ONEALL IN LIMITED,03/12/2015,17/08/2020,25200000,8,25,R;L,,,,0C0000B0I7,0P00016W03,,,1AL
1gov1,1GO,1GOV,1,07,etf units,20230928,,45197,,28/09/2023,,223,VANECK 1-5 YEAR AUSTRALIAN GOVERNMENT BOND ETF,VANECK 1-5 YR GOV,28/09/2023,,0,26,70,,,,,,,,,1GOV
1st1,1ST,1ST,1,01,ordinary,20150609,20161208,42164,42712,09/06/2015,08/12/2016,282,1ST AVAILABLE LTD,1ST AVAILABLE LTD,09/06/2015,,35100000,14,35,N,,,,0C0000AWUR,0P0001608U,,,VFX
1st1,1ST,1ST,1,01,ordinary,20161209,20231031,42713,45230,09/12/2016,31/10/2023,1199,1ST GROUP LIMITED,1ST GROUP LTD,09/06/2015,,35100000,14,35,N,,,,0C0000AWUR,0P0001608U,,,VFX
1st1,VFX,VFX,1,01,ordinary,20231101,,45231,,01/11/2023,,149,VISIONFLEX GROUP LIMITED,VISIONFLEX GROUP LTD,09/06/2015,,35100000,14,35,,,,,0C0000AWUR,0P0001608U,,,VFX
1vg1,1VG,1VG,1,01,ordinary,20210722,20221123,44399,44888,22/07/2021,23/11/2022,302,VICTORY GOLDFIELDS LIMITED,VICTORY GOLDFIELDS,22/07/2021,,15104000,3,15,N,,,,0C00000W9U,0P0001MZ5C,,,VTM
1vg1,VTM,VTM,1,01,ordinary,20221124,,44889,,24/11/2022,,517,VICTORY METALS LIMITED,VICTORY METALS LTD,22/07/2021,,15104000,3,15,,,,,0C00000W9U,0P0001MZ5C,,,VTM
2181,218,218,1,01,nsx - ordinary,20200831,,44074,,31/08/2020,,0,ROFINA GROUP LIMITED,ROFINA GROUP LIMITED,31/08/2020,,0,26,70,,,,,0C0000BYBH,0P0001KMR1,,,
29m1,29M,29M,1,01,ordinary,20210702,,44379,,02/07/2021,,883,29METALS LIMITED,29METALSLIMITED,02/07/2021,,15104000,3,15,,,,,0C0000C6QR,0P0001MTJR,,,29M
2be1,2BE,2BE,1,01,ordinary,20190614,20230411,43630,45027,14/06/2019,11/04/2023,366,TUBI LIMITED,TUBI LIMITED,14/06/2019,11/04/2023,10100000,1,10,E,,after two years of suspension,,0C0000BN0B,0P0001HR53,,,2BE
3601,360,360,1,01,cdi3:1 usprohexclqib,20190510,,43595,,10/05/2019,,1425,LIFE360 INC.,LIFE360 INC.,10/05/2019,,45100000,21,45,,,,,0C0000BMIN,0P0001HFR6,,,360
3da1,3DA,3DA,1,01,ordinary,20191206,,43805,,06/12/2019,,1259,AMAERO INTERNATIONAL LTD,AMAERO INTERNATIONAL,06/12/2019,,20100000,4,20,,,,,0C0000BQWO,0P0001IVCP,,,3DA
3mf1,3MF,3MF,1,01,ordinary,20210302,20230516,44257,45062,02/03/2021,16/05/2023,347,3D METALFORGE LIMITED,3D METALFORGE,02/03/2021,29/08/2023,20200000,5,20,C,,,,0C0000C1WN,0P0001LOQ7,,,3MF
3mf1,3MF,3MFDA,1,01,deferred settlement,20230517,20230613,45063,45090,17/05/2023,13/06/2023,1,3D METALFORGE LIMITED,3D METALFORGE,02/03/2021,29/08/2023,20200000,5,20,C,,,,0C0000C1WN,0P0001LOQ7,,,3MF
3mf1,3MF,3MF,1,01,ordinary,20230614,20230829,45091,45167,14/06/2023,29/08/2023,0,3D METALFORGE LIMITED,3D METALFORGE,02/03/2021,29/08/2023,20200000,5,20,F,,,,0C0000C1WN,0P0001LOQ7,,,3MF
4dx1,4DX,4DX,1,01,ordinary,20200807,,44050,,07/08/2020,,1106,4DMEDICAL LIMITED,4DMEDICAL LIMITED,07/08/2020,,35100000,14,35,,,,,0C0000BXWA,0P0001KHAB,,,4DX
4wd1,4WD,4WD,1,01,ordinary,20161221,20180122,42725,43122,21/12/2016,22/01/2018,225,AUTOMOTIVE SOLUTIONS GROUP LTD,AUTO SOLUTIONS LTD,21/12/2016,22/01/2018,25100000,7,25,A,ama2,ama group limited offered 35 cents per {4wd1},,0C0000B6UA,0P00019GBU,,,4WD
5gg1,5GG,5GG,1,01,ordinary,20210129,,44225,,29/01/2021,,978,PENTANET LIMITED,PENTANET,29/01/2021,,50100000,23,50,,,,,0C0000C1PM,0P0001LL8Y,,,5GG
5gn1,5GN,5GN,1,01,ordinary,20171117,20211126,43056,44526,17/11/2017,26/11/2021,990,5G NETWORKS LIMITED,5G NETWORKS LIMITED,17/11/2017,26/11/2021,50100000,23,50,S;R;M,mlb2,webcentral offers two {mlb2} for each one share,,0C0000BCQP,0P0001BUV5,,,5GN1
5gov1,5GO,5GOV,1,07,etf units,20230928,,45197,,28/09/2023,,278,VANECK 5-10 YEAR AUSTRALIAN GOVERNMENT BOND ETF,VANECK 5-10 YR GOV,28/09/2023,,0,26,70,,,,,,,,,5GOV
7891,789,789,1,01,nsx - ordinary,20190304,20220110,43528,44571,04/03/2019,10/01/2022,0,789 HOLDINGS LIMITED,789 HOLDINGS LTD,04/03/2019,10/01/2022,0,26,70,U-x,,,,0C0000BQ4F,0P0001INNV,,,
8191,819,819,1,01,ssx - ordinary,20151009,20170301,42286,42795,09/10/2015,01/03/2017,0,SANHE BUILDING MATERIALS TECHNOLOGY COMPANY LTD,SANHE BLDG TECH,09/10/2015,01/03/2017,0,26,70,R-apx,,,,,,,,
8331,833,833,1,01,ssx - ordinary,20201124,20230424,44159,45040,24/11/2020,24/04/2023,0,WEST COAST AQUACULTURE GROUP LTD,WEST COAST,24/11/2020,24/04/2023,0,26,70,U-x,,,,,,,,
8681,868,868,1,01,ssx - ordinary,20150619,20190118,42174,43483,19/06/2015,18/01/2019,0,AUS SANTIA JINNAI CULTURE DEVELOPMENT HDGS GRP LTD,AUST SANTIA JINNAI,19/06/2015,18/01/2019,0,26,70,U-x,,,,0C0000AXV7,0P000168YY,,,
88a1,88A,88A,1,01,ssx - ordinary,20210226,,44253,,26/02/2021,,0,AHP GROUP LIMITED,AHP GROUP LIMITED,26/02/2021,,0,26,70,,,,,,,,,
8991,899,899,1,01,ssx - ordinary,20170626,,42912,,26/06/2017,,0,G-LINK INTERNATIONAL LIMITED,G-LINK,26/06/2017,,0,26,70,,,,,,,,,
8co1,8CO,8CO,1,01,ordinary,20140827,,41878,,27/08/2014,,1618,8COMMON LIMITED,8COMMON LIMITED,27/08/2014,,45100000,21,45,,,,,0C0000APWU,0P00013Y31,,,8CO
8ec1,8EC,8EC,1,01,ordinary,20151201,20201122,42339,44157,01/12/2015,22/11/2020,715,8IP EMERGING COMPANIES LIMITED,8IP EMERG CO LTD,01/12/2015,17/10/2022,0,26,70,C,,,,0C0000B0T1,0P00016YXJ,,,LAN
8ec1,8EC,8ECDA,1,01,deferred settlement,20201123,20201130,44158,44165,23/11/2020,30/11/2020,1,8IP EMERGING COMPANIES LIMITED,8IP EMERG CO LTD,01/12/2015,17/10/2022,0,26,70,C,,,,0C0000B0T1,0P00016YXJ,,,LAN
8ec1,8EC,8EC,1,01,ordinary,20201201,20210928,44166,44467,01/12/2020,28/09/2021,1,8IP EMERGING COMPANIES LIMITED,8IP EMERG CO LTD,01/12/2015,17/10/2022,0,26,70,C,,,,0C0000B0T1,0P00016YXJ,,,LAN
